,Product_ID,Product_Name,Category,Store_ID,Date,Units_Sold,Units_Stocked,Price_per_Unit,Revenue,Stockout_Flag,Overstock_Flag
0,1,Shampoo,Household,Store_101,2024-01-01,24,24,87.42,2098.08,True,False
1,1,Shampoo,Household,Store_101,2024-01-02,40,92,87.42,3496.8,False,True
2,1,Shampoo,Household,Store_101,2024-01-03,40,96,87.42,3496.8,False,True
3,1,Shampoo,Household,Store_101,2024-01-04,31,31,87.42,2710.02,True,False
4,1,Shampoo,Household,Store_101,2024-01-05,19,62,87.42,1660.98,False,True
5,1,Shampoo,Household,Store_101,2024-01-06,19,30,87.42,1660.98,False,False
6,1,Shampoo,Household,Store_101,2024-01-07,27,42,87.42,2360.34,False,True
7,1,Shampoo,Household,Store_101,2024-01-08,5,98,87.42,437.1,False,True
8,1,Shampoo,Household,Store_101,2024-01-09,0,58,87.42,0.0,False,True
9,1,Shampoo,Household,Store_101,2024-01-10,31,69,87.42,2710.02,False,True
10,1,Shampoo,Household,Store_101,2024-01-11,22,89,87.42,1923.24,False,True
11,1,Shampoo,Household,Store_101,2024-01-12,23,71,87.42,2010.66,False,True
12,1,Shampoo,Household,Store_101,2024-01-13,26,60,87.42,2272.92,False,True
13,1,Shampoo,Household,Store_101,2024-01-14,12,12,87.42,1049.04,True,False
14,1,Shampoo,Household,Store_101,2024-01-15,19,60,87.42,1660.98,False,True
15,1,Shampoo,Household,Store_101,2024-01-16,27,27,87.42,2360.34,True,False
16,1,Shampoo,Household,Store_101,2024-01-17,13,13,87.42,1136.46,True,False
17,1,Shampoo,Household,Store_101,2024-01-18,18,18,87.42,1573.56,True,False
18,1,Shampoo,Household,Store_101,2024-01-19,27,99,87.42,2360.34,False,True
19,1,Shampoo,Household,Store_101,2024-01-20,18,69,87.42,1573.56,False,True
20,1,Shampoo,Household,Store_101,2024-01-21,36,80,87.42,3147.12,False,True
21,1,Shampoo,Household,Store_101,2024-01-22,28,44,87.42,2447.76,False,True
22,1,Shampoo,Household,Store_101,2024-01-23,13,87,87.42,1136.46,False,True
23,1,Shampoo,Household,Store_101,2024-01-24,13,13,87.42,1136.46,True,False
24,1,Shampoo,Household,Store_101,2024-01-25,11,11,87.42,961.62,True,False
25,1,Shampoo,Household,Store_101,2024-01-26,13,13,87.42,1136.46,True,False
26,1,Shampoo,Household,Store_101,2024-01-27,3,63,87.42,262.26,False,True
27,1,Shampoo,Household,Store_101,2024-01-28,14,23,87.42,1223.88,False,False
28,1,Shampoo,Household,Store_101,2024-01-29,32,57,87.42,2797.44,False,True
29,1,Shampoo,Household,Store_101,2024-01-30,6,71,87.42,524.52,False,True
30,1,Shampoo,Household,Store_101,2024-01-31,29,49,87.42,2535.18,False,True
31,1,Shampoo,Household,Store_101,2024-02-01,31,62,87.42,2710.02,False,True
32,1,Shampoo,Household,Store_101,2024-02-02,11,33,87.42,961.62,False,False
33,1,Shampoo,Household,Store_101,2024-02-03,16,50,87.42,1398.72,False,True
34,1,Shampoo,Household,Store_101,2024-02-04,30,38,87.42,2622.6,False,True
35,1,Shampoo,Household,Store_101,2024-02-05,33,44,87.42,2884.86,False,True
36,1,Shampoo,Household,Store_101,2024-02-06,16,44,87.42,1398.72,False,True
